global_idx,sub_idx,frame_idx,name,top_sc_px,bot_sc_px,end_ed_px,sc_thickness_mm,ed_thickness_mm,total_thickness_mm,surface_disp_mm
35,0,35,0_35,87.509765625,94.55078125,120.703125,0.035205078125,0.13076171875,0.165966796875,0.075439453125
36,0,36,0_36,88.0126953125,94.55078125,123.2177734375,0.0326904296875,0.1433349609375,0.176025390625,0.0779541015625
37,0,37,0_37,87.509765625,94.55078125,123.2177734375,0.035205078125,0.1433349609375,0.1785400390625,0.075439453125
38,0,38,0_38,88.0126953125,94.55078125,122.71484375,0.0326904296875,0.1408203125,0.1735107421875,0.0779541015625
39,0,39,0_39,88.515625,94.55078125,123.2177734375,0.03017578125,0.1433349609375,0.1735107421875,0.08046875
40,0,40,0_40,87.509765625,94.55078125,120.703125,0.035205078125,0.13076171875,0.165966796875,0.075439453125
41,0,41,0_41,88.0126953125,94.55078125,122.2119140625,0.0326904296875,0.1383056640625,0.17099609375,0.0779541015625
42,0,42,0_42,88.0126953125,94.55078125,122.2119140625,0.0326904296875,0.1383056640625,0.17099609375,0.0779541015625
43,0,43,0_43,88.515625,94.55078125,123.2177734375,0.03017578125,0.1433349609375,0.1735107421875,0.08046875
44,0,44,0_44,88.515625,94.55078125,125.2294921875,0.03017578125,0.1533935546875,0.1835693359375,0.08046875
45,0,45,0_45,88.0126953125,94.55078125,126.73828125,0.0326904296875,0.1609375,0.1936279296875,0.0779541015625
46,0,46,0_46,88.515625,94.55078125,123.720703125,0.03017578125,0.145849609375,0.176025390625,0.08046875
47,0,47,0_47,88.515625,94.55078125,122.71484375,0.03017578125,0.1408203125,0.17099609375,0.08046875
48,0,48,0_48,88.515625,94.55078125,124.7265625,0.03017578125,0.15087890625,0.1810546875,0.08046875
49,0,49,0_49,89.0185546875,94.55078125,123.720703125,0.0276611328125,0.145849609375,0.1735107421875,0.0829833984375
50,0,50,0_50,88.515625,95.0537109375,123.720703125,0.0326904296875,0.1433349609375,0.176025390625,0.08046875
51,0,51,0_51,89.521484375,95.0537109375,124.7265625,0.0276611328125,0.1483642578125,0.176025390625,0.085498046875
52,0,52,0_52,89.521484375,95.556640625,124.7265625,0.03017578125,0.145849609375,0.176025390625,0.085498046875
53,0,53,0_53,89.521484375,95.556640625,125.2294921875,0.03017578125,0.1483642578125,0.1785400390625,0.085498046875
54,0,54,0_54,89.521484375,95.556640625,124.7265625,0.03017578125,0.145849609375,0.176025390625,0.085498046875
55,0,55,0_55,89.521484375,95.556640625,131.767578125,0.03017578125,0.1810546875,0.21123046875,0.085498046875
56,0,56,0_56,89.521484375,95.556640625,125.732421875,0.03017578125,0.15087890625,0.1810546875,0.085498046875
57,0,57,0_57,89.521484375,96.0595703125,124.7265625,0.0326904296875,0.1433349609375,0.176025390625,0.085498046875
58,0,58,0_58,89.521484375,96.0595703125,130.76171875,0.0326904296875,0.1735107421875,0.206201171875,0.085498046875
59,0,59,0_59,89.521484375,96.5625,123.720703125,0.035205078125,0.135791015625,0.17099609375,0.085498046875
60,0,60,0_60,90.0244140625,96.5625,126.73828125,0.0326904296875,0.15087890625,0.1835693359375,0.0880126953125
61,0,61,0_61,90.52734375,96.5625,132.2705078125,0.03017578125,0.1785400390625,0.2087158203125,0.09052734375
62,0,62,0_62,90.52734375,96.5625,125.732421875,0.03017578125,0.145849609375,0.176025390625,0.09052734375
63,0,63,0_63,90.52734375,96.5625,129.755859375,0.03017578125,0.165966796875,0.196142578125,0.09052734375
64,0,64,0_64,89.521484375,96.5625,126.73828125,0.035205078125,0.15087890625,0.186083984375,0.085498046875
65,0,65,0_65,89.521484375,96.5625,127.2412109375,0.035205078125,0.1533935546875,0.1885986328125,0.085498046875
66,0,66,0_66,89.521484375,95.556640625,127.2412109375,0.03017578125,0.1584228515625,0.1885986328125,0.085498046875
67,0,67,0_67,89.521484375,96.0595703125,127.2412109375,0.0326904296875,0.155908203125,0.1885986328125,0.085498046875
68,0,68,0_68,89.521484375,96.0595703125,130.76171875,0.0326904296875,0.1735107421875,0.206201171875,0.085498046875
69,0,69,0_69,89.521484375,96.5625,127.744140625,0.035205078125,0.155908203125,0.19111328125,0.085498046875
70,0,70,0_70,89.521484375,96.0595703125,123.720703125,0.0326904296875,0.1383056640625,0.17099609375,0.085498046875
71,0,71,0_71,89.521484375,95.556640625,127.2412109375,0.03017578125,0.1584228515625,0.1885986328125,0.085498046875
72,0,72,0_72,89.521484375,95.556640625,125.732421875,0.03017578125,0.15087890625,0.1810546875,0.085498046875
73,0,73,0_73,88.515625,95.556640625,126.2353515625,0.035205078125,0.1533935546875,0.1885986328125,0.08046875
74,0,74,0_74,88.515625,95.556640625,126.73828125,0.035205078125,0.155908203125,0.19111328125,0.08046875
75,0,75,0_75,89.521484375,95.556640625,123.720703125,0.03017578125,0.1408203125,0.17099609375,0.085498046875
76,0,76,0_76,89.521484375,95.556640625,127.2412109375,0.03017578125,0.1584228515625,0.1885986328125,0.085498046875
77,0,77,0_77,89.521484375,95.556640625,132.2705078125,0.03017578125,0.1835693359375,0.2137451171875,0.085498046875
78,0,78,0_78,89.521484375,95.556640625,128.2470703125,0.03017578125,0.1634521484375,0.1936279296875,0.085498046875
79,0,79,0_79,89.521484375,95.0537109375,127.2412109375,0.0276611328125,0.1609375,0.1885986328125,0.085498046875
80,0,80,0_80,88.515625,95.0537109375,127.2412109375,0.0326904296875,0.1609375,0.1936279296875,0.08046875
81,0,81,0_81,89.521484375,95.556640625,127.744140625,0.03017578125,0.1609375,0.19111328125,0.085498046875
82,0,82,0_82,89.0185546875,95.556640625,126.73828125,0.0326904296875,0.155908203125,0.1885986328125,0.0829833984375
83,0,83,0_83,89.0185546875,95.556640625,126.2353515625,0.0326904296875,0.1533935546875,0.186083984375,0.0829833984375
84,0,84,0_84,89.521484375,95.556640625,132.2705078125,0.03017578125,0.1835693359375,0.2137451171875,0.085498046875
85,0,85,0_85,89.521484375,96.5625,132.2705078125,0.035205078125,0.1785400390625,0.2137451171875,0.085498046875
86,0,86,0_86,90.52734375,96.5625,131.767578125,0.03017578125,0.176025390625,0.206201171875,0.09052734375
87,0,87,0_87,91.533203125,97.568359375,130.76171875,0.03017578125,0.165966796875,0.196142578125,0.095556640625
88,0,88,0_88,92.5390625,98.57421875,130.76171875,0.03017578125,0.1609375,0.19111328125,0.1005859375
